site,code,cover,n_pts,category
1,AA,0,375,Algal Assemblage
1,ACB,14,375,Acropora Branching
1,ACBD,0,375,Acropora Branching Dead
1,ACD,2,375,Acropora Digitate
1,ACE,4,375,Acropora Encrusting
1,ACS,62,375,Acropora Submassive
1,ACT,4,375,Acropora Tabular
1,CA,0,375,Coraline Algae
1,CB,9,375,Coral Branching
1,CBD,0,375,Coral Branching Dead
1,CE,4,375,Coral Encrusting
1,CF,4,375,Coral Foliose
1,CHL,0,375,Blue Coral
1,CM,54,375,Coral Massive
1,CME,0,375,Fire Coral
1,CMR,1,375,Mushroom Coral
1,CS,14,375,Coral Submassive
1,CTU,0,375,Organ Pipe Coral
1,DC,38,375,Dead Coral
1,DCA,0,375,Dead Coral with Algae
1,HA,0,375,Halimeda Algae
1,MA,0,375,Macroalgae
1,OT,0,375,Others
1,R,121,375,Rubble
1,RCK,8,375,Rock
1,S,25,375,Sand
1,SC,4,375,Soft coral
1,SI,7,375,Silt
1,SP,0,375,Sponge
1,TA,0,375,Turf Algae
1,ZO,0,375,Zoanthids
2,AA,0,375,Algal Assemblage
2,ACB,33,375,Acropora Branching
2,ACBD,3,375,Acropora Branching Dead
2,ACD,0,375,Acropora Digitate
2,ACE,0,375,Acropora Encrusting
2,ACS,93,375,Acropora Submassive
2,ACT,9,375,Acropora Tabular
2,CA,0,375,Coraline Algae
2,CB,141,375,Coral Branching
2,CBD,26,375,Coral Branching Dead
2,CE,2,375,Coral Encrusting
2,CF,23,375,Coral Foliose
2,CHL,1,375,Blue Coral
2,CM,36,375,Coral Massive
2,CME,0,375,Fire Coral
2,CMR,0,375,Mushroom Coral
2,CS,0,375,Coral Submassive
2,CTU,0,375,Organ Pipe Coral
2,DC,0,375,Dead Coral
2,DCA,0,375,Dead Coral with Algae
2,HA,0,375,Halimeda Algae
2,MA,0,375,Macroalgae
2,OT,0,375,Others
2,R,0,375,Rubble
2,RCK,0,375,Rock
2,S,5,375,Sand
2,SC,1,375,Soft coral
2,SI,0,375,Silt
2,SP,0,375,Sponge
2,TA,0,375,Turf Algae
2,ZO,2,375,Zoanthids
3,AA,0,375,Algal Assemblage
3,ACB,206,375,Acropora Branching
3,ACBD,21,375,Acropora Branching Dead
3,ACD,0,375,Acropora Digitate
3,ACE,0,375,Acropora Encrusting
3,ACS,81,375,Acropora Submassive
3,ACT,1,375,Acropora Tabular
3,CA,0,375,Coraline Algae
3,CB,36,375,Coral Branching
3,CBD,9,375,Coral Branching Dead
3,CE,1,375,Coral Encrusting
3,CF,4,375,Coral Foliose
3,CHL,0,375,Blue Coral
3,CM,1,375,Coral Massive
3,CME,1,375,Fire Coral
3,CMR,3,375,Mushroom Coral
3,CS,0,375,Coral Submassive
3,CTU,0,375,Organ Pipe Coral
3,DC,0,375,Dead Coral
3,DCA,5,375,Dead Coral with Algae
3,HA,0,375,Halimeda Algae
3,MA,0,375,Macroalgae
3,OT,0,375,Others
3,R,0,375,Rubble
3,RCK,0,375,Rock
3,S,5,375,Sand
3,SC,1,375,Soft coral
3,SI,0,375,Silt
3,SP,0,375,Sponge
3,TA,0,375,Turf Algae
3,ZO,0,375,Zoanthids
4,AA,0,375,Algal Assemblage
4,ACB,26,375,Acropora Branching
4,ACBD,0,375,Acropora Branching Dead
4,ACD,0,375,Acropora Digitate
4,ACE,0,375,Acropora Encrusting
4,ACS,9,375,Acropora Submassive
4,ACT,0,375,Acropora Tabular
4,CA,0,375,Coraline Algae
4,CB,22,375,Coral Branching
4,CBD,7,375,Coral Branching Dead
4,CE,0,375,Coral Encrusting
4,CF,1,375,Coral Foliose
4,CHL,0,375,Blue Coral
4,CM,63,375,Coral Massive
4,CME,1,375,Fire Coral
4,CMR,0,375,Mushroom Coral
4,CS,0,375,Coral Submassive
4,CTU,0,375,Organ Pipe Coral
4,DC,47,375,Dead Coral
4,DCA,0,375,Dead Coral with Algae
4,HA,27,375,Halimeda Algae
4,MA,18,375,Macroalgae
4,OT,0,375,Others
4,R,0,375,Rubble
4,RCK,0,375,Rock
4,S,95,375,Sand
4,SC,0,375,Soft coral
4,SI,0,375,Silt
4,SP,0,375,Sponge
4,TA,59,375,Turf Algae
4,ZO,0,375,Zoanthids
5,AA,0,375,Algal Assemblage
5,ACB,1,375,Acropora Branching
5,ACBD,0,375,Acropora Branching Dead
5,ACD,0,375,Acropora Digitate
5,ACE,1,375,Acropora Encrusting
5,ACS,0,375,Acropora Submassive
5,ACT,0,375,Acropora Tabular
