site,Reef.ID,pres.topa,pres.habili,secchi,flow,logged,coordx,coordy
1,1,5,8,12,Strong,Not logged,436241.287673984,9163860.89820144
2,2,1,0,9.5,Strong,Logged,435632.544142236,9162877.25139489
3,3,6,3,10.2,Strong,Logged,429647.469734477,9164634.42710541
4,4,0,0,4.7,Mild,Logged,429325.392249484,9161596.97380206
5,5,0,0,5,Mild,Logged,439682.133886024,9162095.36823885
6,6,3,2,10.8,Strong,Logged,437608.486563495,9163590.72965074
7,7,0,0,6.1,Mild,Logged,448857.21912658,9154591.74092905
8,8,0,0,7.2,Mild,Logged,447557.41600184,9157066.72110497
9,9,0,0,6,Mild,Logged,446962.153985791,9152788.74267314
10,10,0,0,7,Mild,Logged,446047.659415398,9151977.35030814
11,11,0,1,10,Mild,Logged,438825.093356883,9155991.66138132
12,12,0,0,9.5,Mild,Logged,443982.049604328,9154677.99946922
13,13,0,0,7.5,Mild,Logged,454121.647843025,9145456.60956979
14,14,0,0,4,Mild,Logged,450005.965562295,9155094.87577888
15,15,0,1,8.8,Mild,Logged,435560.753661755,9158845.20678562
16,16,0,0,14.5,Mild,Logged,434767.850084654,9156277.03096399
17,17,0,0,6.4,Mild,Logged,443074.164048807,9152044.62241741
18,18,1,0,6.2,Mild,Logged,444209.728315415,9158041.31901812
19,19,0,0,10,Mild,Logged,446904.531906647,9149101.70875298
20,20,0,0,10.3,Mild,Logged,450993.234592275,9149652.26697071
21,21,0,0,8,Mild,Logged,454932.061177582,9143259.60025787
22,22,0,0,9.3,Mild,Logged,453493.322183334,9148569.1661805
23,23,7,26,11,Mild,Not logged,422184.513951921,9174692.4952738
24,24,1,3,14,Mild,Not logged,425421.452391608,9172215.56937876
25,25,15,7,8,Mild,Not logged,428228.83019995,9170498.44591138
26,26,0,2,13,Mild,Not logged,426189.033221311,9173920.41830265
27,27,0,1,13.7,Mild,Not logged,416912.166532905,9174677.143504
28,28,0,0,12,Mild,Not logged,419131.357731697,9175940.13684153
29,29,2,2,8.5,Mild,Not logged,421485.825292436,9174814.09145203
30,30,0,0,12.5,Mild,Not logged,414674.17683546,9182978.44210356
31,31,0,0,8.9,Mild,Not logged,417439.223500889,9178173.89092612
32,32,2,6,15.2,Mild,Not logged,410979.715220369,9180804.92384816
33,33,1,1,9.4,Mild,Not logged,414008.621038728,9181113.26176398
34,34,0,0,12.5,Mild,Not logged,415304.193381967,9181800.97894688
35,35,32,7,10.5,Mild,Not logged,414401.499467661,9179856.8964272
36,36,17,5,11.3,Mild,Not logged,413681.122900193,9179701.95484333
37,37,25,13,12,Mild,Not logged,412169.390417819,9180207.83863027
38,38,8,11,14,Mild,Not logged,417215.194849216,9176876.66421
39,39,5,8,12,Mild,Not logged,419754.187596246,9176332.54071742
40,40,3,6,8,Mild,Not logged,424761.641582147,9175051.4357423
41,41,0,2,15,Mild,Not logged,426473.52518766,9174049.09484078
42,42,0,0,6,Mild,Not logged,433107.21350352,9170954.28761937
43,43,1,3,6.7,Mild,Not logged,430914.586980662,9170359.73696086
44,44,2,1,12,Mild,Not logged,428082.947763302,9172146.62144412
45,45,1,7,7,Mild,Not logged,422628.306524622,9175260.36101248
46,46,4,8,12,Strong,Not logged,434576.641898641,9167057.01987722
47,47,15,6,8.3,Strong,Not logged,435417.709650039,9165127.86405037
48,48,12,6,10.4,Strong,Not logged,435885.887354518,9164817.83110604
49,49,8,1,12.2,Strong,Not logged,436481.644607316,9163965.13837168
